"","document","number","content","meeting","topic"
"text5768","WCPFC7",301,"ffa members stated they were committed to adopt a comprehensive cmm at wcpfc8 to replace cmm 2008 01 but urged the commission to take a decision that all the provisions of the cmm will continue to apply as they apply in 2011 until they are replaced to avoid a situation in 2011 where partial arrangements would continue to apply in an unfair or ineffective manner ffa members also noted that cmm 2008 01 para 36 states that the catch limit for china for 2009 and 2010 will remain at 2004 levels pending agreement being reached to develop an arrangement for the attribution of chinese catch taken as part of domestic fisheries in the eezs of sids the paragraph is silent about any limit for china for 2011 but in the view of ffa members anticipates that the commission will establish a bigeye longline catch limit for china for 2011 consistent with the 30 reductions being applied to the catch limits of other large longline fleets ffa estimates the bigeye catch by chinese longline vessels operating as part of the domestic fleets of several sids in 2004 at 1 824 mt the limit established for china for 2009 and 2010 in attachment f of cmm 2008 01 was 9 314 mt thus the applicable baseline catch for china would have been 7 490 mt with a 30 reduction the limit for china for 2011 would be 5 243 mt ffa members noted it was appropriate that a reduction be applied to the catch limit for china for 2011 because the difficulty with establishing an appropriate catch limit arises from the failure of china to provide operational level data as required under the commission s data rules","WCPFC7","bycatch"
"text5769","WCPFC7",303,"the philippines noted it would be premature to consider an extension of cmm 2008 01 without a review and noted that article 46 states that decisions must be taken in light of scientific advice","WCPFC7","equity"
"text5770","WCPFC7",304,"nauru noted its reservations regarding a piecemeal management through various cmms and urged the commission to develop a strategic approach to management it also suggested that work on reference points should be fast tracked","WCPFC7","strategy"
"text5771","WCPFC7",305,"several ccms agreed cmm 2008 01 needs improvement with ambiguities removed and effectiveness reinforced and noted some 80 of the bigeye catch in the wcpo is in national waters and only 20 in the high seas","WCPFC7","bycatch"
"text5772","WCPFC7",306,"the chair stated that the concerns expressed by japan were backed by analyses of the scientific services provider he noted that the proposed or ongoing construction of some 40 new purse seine vessels all larger than those that are currently fishing now posed a significant problem he reviewed the declining status of available resources and noted that having failed to reduce the purse seine catch the commission s credibility was at stake and it needed to take urgent measures to address the situation for specific stocks he noted pna attempts to reduce effort through the vds but observed that regional capacity was already sufficient and efforts must be made to limit overall capacity in conjunction with managing effort he observed that further delay would result in construction of additional vessels and increased fishing effort with 45 likely increases in iuu fishing on the high seas if in zone fishing is controlled he noted the need to transfer capacity from dwfns to sids and reminded members of their responsibility to promote sustainable use of the region s fishery resources through a precautionary approach","WCPFC7","bycatch"
"text5773","WCPFC7",307,"wcpfc7 agreed to consider wcpfc7 2010 dp 02 wcpfc7 2010 dp 03 and the issues raised during the discussion through the cmm 2008 01 review process described in para 308 below","WCPFC7","session"
"text5774","WCPFC7",308,"wcpfc7 adopted wcpfc7 2010 dp 32 rev 3 regarding a process for 2011 to develop an enhanced conservation and management measure for tropical tunas bigeye skipjack and yellowfin in the wcpo attachment v as follows i at its 8th session in december 2011 the commission will adopt an enhanced measure to conserve and manage tropical tunas on the basis of the advice provided by sc7 and the recommendations of tcc7 the cmm will be based upon the most recent scientific advice and be designed to deliver a substantial improvement in the status of the wcpo bigeye stock and promote the conservation and management of skipjack and yellowfin in accordance with the wcpf convention ii the cmm will apply to all commercial tuna fisheries purse seine longline and other commercial tuna fisheries in the wcpo iii the advice and recommendations will inter alia include consideration of the status and distribution of stocks fairness equity enforceability compatibility multi species effects socio economic factors involved and the special requirements of developing members sids and territories iv ccms are encouraged to take voluntary steps to mitigate the impact of their fishing activities on the sustainability of bigeye skipjack and yellowfin tuna and to report back on the steps they take v kobe 3 11 15 july 2011 may present an opportunity for an initial discussion on the development of an enhanced measure for conservation and management of tropical tunas vi sc7 shall consider updated assessments for bigeye yellowfin and skipjack and the results of the evaluation of the measure and projections undertaken at the request of sc6 and will provide advice and recommendations that will support the development of an enhanced measure for conservation and management of tropical tunas on the basis of the advice provided by sc7 the chair and the vice chair of the commission assisted by the executive director and other commission subsidiary body chairs as appropriate will prepare a preliminary document containing a possible approach and options for the enhanced measure to be considered by tcc7 vii tcc7 will consider the preliminary document prepared by the chair and vice chair and provide advice and recommendations for consideration by wcpfc8 viii all ccms are encouraged to share proposals with other ccms and with the commission chair as early as possible in 2011 to maximize the opportunity for developing options for an enhanced measure for consideration at wcpfc8 ix ccms are encouraged to reflect on resolution 2008 01 in the preparation of proposals for an enhanced measure 9 1 3 cmm 2009 06 conservation and management measure on the regulation of transshipment","WCPFC7","strategy"
"text5775","WCPFC7",309,"the compliance manager summarized the questions that the secretariat had received regarding implementation of cmm 2009 06 these include confusion regarding the observer provisions and lack of clarity of where to submit the transshipment declarations 46","WCPFC7","transparency"
"text5776","WCPFC7",310,"solomon islands on behalf of the ffa stated that cmm 2009 06 needs to be read in conjunction with 2009 01 wcpfc record of fishing vessels and authorization to fish cmm 2009 01 indicates in para 30 that once a cnm vessel is on the vessel register it is equivalent to a ccm flagged vessel and must comply with all relevant cmm s thus the transshipment observer provisions of cmm 2009 06 apply to carriers on the interim register","WCPFC7","transparency"
"text5777","WCPFC7",311,"in accordance with cmm 2007 01 and the decision of wcpfc2 carriers like other vessels are free to choose rop observers of non nationals of the flag state from the authorized national observer programs or from the existing sub regional programs except for vessels covered by para 14 ii of cmm 2007 01 ffa members noted that if a bunker vessel did receive fish from another vessel it would be a receiving vessel and therefore subject to 2009 06 the whole measure in the same way that other vessels are ffa members also noted that the reporting requirements of the measure in paras 10 11 and 12 also apply in cases where wcpo caught fish is transshipped elsewhere","WCPFC7","transparency"
"text5778","WCPFC7",312,"japan noted while who is responsible for funding is an issue to be addressed practical approach can be taken in operations because no transshipment can be allowed without observers on board","WCPFC7","equity"
"text5779","WCPFC7",313,"china noted the urgent need to allocate funds to pay observers and resolve proposals for cross endorsement of observers","WCPFC7","equity"
"text5780","WCPFC7",314,"the usa and ffa members stated that cmm 2009 06 could be implemented without further clarification while the eu stated that the measure was not clear the chair advised the usa to provide clarification to the eu","WCPFC7","equity"
"text5781","WCPFC7",315,"noting that they were already in force the commission agreed with the executive director s suggestion that the issues raised by wcpfc7 2010 13 and wcpfc7 2010 30 be addressed intersessionally and brought to tcc7 to ensure consistent application 9 1 4 cmm 2007 04 seabird by catch mitigation","WCPFC7","session"
"text5782","WCPFC7",316,"acap advised ccms that considerable progress had been made in recent years in respect to mitigation of longline impacts on seabirds he indicated that acap hoped a new set of guidelines on mitigation measures would be available in 2011 and noted progress on safety aspects of using leads on branch lines which should result in much safer operations acap sought support for having these items reviewed by the sc at its next meeting","WCPFC7","equity"
"text5783","WCPFC7",317,"acap commented that there had been numerous references to the lack of data hampering the commission s work and said that a similar lack of data on seabird bycatch hampered acap s ability to advise the commission acap noted that the ecological risk assessments presented and discussed at the sc over the previous few years enabled the commission to undertake a very targeted observer programme that focused on areas of highest seabird interaction and need acap proposed that a targeted observer programme be undertaken in one of the hot spots identified in the tasman sea to assist in the review of cmm 2007 04 and indicated it would consult with relevant parties who fish in that region in the coming months to identify data gaps and develop approaches to cooperation","WCPFC7","equity"
"text5784","WCPFC7",318,"new zealand stated that the approach of a targeted observer programme as proposed by acap could be very cost effective and useful and indicated this could be further considered by the commission at tcc and sc it encouraged other fishing nations to get involved","WCPFC7","equity"
"text5785","WCPFC7",319,"the usa suggested that the design of the rop should be guided by advice from the sc and should work to implement the plan proposed by the sc and agreed to by the commission 9 1 5 others to be discussed 47 cmm 2005 02 south pacific albacore","WCPFC7","session"
"text5786","WCPFC7",320,"png introduced wcpfc7 2010 dp 08 on behalf of ffa members requesting that cmm 2005 02 be clarified and require that ccms report to the commission the total number of vessels that caught south pacific albacore and the total catch in tonnes for vessels catching albacore south of 20°s","WCPFC7","bycatch"
"text5787","WCPFC7",321,"a number of ccms expressed support for the proposal some concerns were expressed about reporting thresholds for south pacific albacore bycatch and for application of the measure to vessels that do not target south pacific albacore","WCPFC7","strategy"
"text5788","WCPFC7",322,"wcpfc7 adopted wcpfc7 2010 dp 08 rev 1 to revise cmm 2005 02 attachment w with the understanding that some cmms may not be able to provide separate data for bycatch and targeted catch of south pacific albacore prior to 2005 ccms shall make their best efforts to do so and post 2005 catch data for south pacific albacore must distinguish between targeted catch and bycatch cmm 2007 01 regional observer programme","WCPFC7","strategy"
"text5789","WCPFC7",323,"the secretariat spoke to the data flow obligations of ccms under cmm 2007 01 as addressed in wcpfc7 2010 13 it noted that the poor provision of rop data to the secretariat and its scientific services provider spc negatively impacts the commission s ability to carry out its work and receive appropriate reports for sustainable and responsible fisheries management there is a need to clarify the definition of the rop and the obligations of members with respect to the security and timely flow of data to both the secretariat and spc with a mechanism to assist members who have difficulties meeting the rop data criteria ccm data flow obligations","WCPFC7","session"
"text5790","WCPFC7",324,"japan introduced wcpfc7 2010 dp 19 on behalf of the eu japan korea and chinese taipei in relation to release of rop reports they proposed that annex a of cmm 2007 01 be modified and specify that observer providers be responsible for ensuring i timely provision of draft observer reports to vessel operators captains as well as to the competent authority in the flag ccm upon completion of their observer trips and ii the opportunity for vessel operators captains to review and comment on the observer reports under paragraph 1 c annex b they noted that the data was very useful for compliance as well as scientific research and this would be facilitated through the proposed modification to cmm 2007 01 rop report release","WCPFC7","session"
"text5791","WCPFC7",325,"some ccms indicated that the issues raised needed to be considered further to determine their impact on observers and national observer programs and suggested the proposal be deferred to tcc7 other ccms noted the proposal was essentially a guideline for existing para 1 c of annex b implementation and could be implemented without delay stressing the need for flag states to receive observer reports as soon as possible in order to be able to exercise their duty of responsible control over own flagged vessels one ccm stressed the need to set forth the rights and responsibilities of the various parties more clearly and another indicated the information would be useful should legal action be required a ccm noted the proposed paragraph should indicate why the competent authority should receive the observer report and noted it should be made available to all those who should receive it at the same time","WCPFC7","equity"
"text5792","WCPFC7",326,"the observer programme coordinator indicated that there were operational difficulties raised by the proposal highlighting costs reporting delays due to travel delays the possible need for observer debriefing and problems that could arise if an observer made multiple trips on the same vessel 48","WCPFC7","equity"
"text5793","WCPFC7",327,"he also noted that the secretariat was currently receiving no data and that no funds were available to enter data in 2010","WCPFC7","transparency"
"text5794","WCPFC7",328,"ffa noted that there were significant differences between rop data and observer reports and that captains were able to review but not keep observer reports while flag states could receive rop data","WCPFC7","transparency"
"text5795","WCPFC7",329,"the eu confirmed not having been able to access any observer data and that masters of eu flagged vessels had never received reports for review","WCPFC7","transparency"
"text5796","WCPFC7",330,"wcpfc7 failed to reach consensus on wcpfc7 2010 dp 19 and directed tcc7 to consider the issues raised in the paper cmm 2007 02 vms","WCPFC7","session"
"text5797","WCPFC7",331,"the usa introduced wcpfc7 2010 dp 14 regarding the need for commission consideration and approval of requests by ccms to include waters under their national jurisdiction within the area covered by the commission vms as specified in cmm 2007 02 para 6 c the usa outlined its concern that such requests and approvals were characterized in the wcpfc6 meeting record as being a bilateral issue while cmm 2007 02 is clear that they require commission consideration and approval the usa stressed that cmms should be implemented in the specified manner","WCPFC7","session"
"text5798","WCPFC7",332,"the usa suggested that the commission approve the application of cmm 2007 02 to all ccms waters as a whole if requested by a ccm the secretariat would advise the commission if a request was made by a ccm for application of the vms to its waters a proposed template of terms and conditions would be developed by the secretariat for this purpose","WCPFC7","transparency"
"text5799","WCPFC7",333,"in response to a query the compliance manager indicated that the vms currently collects data regarding eezs and the commission pays for that data but the data is quarantined and countries and the commission do not see it the proposed access arrangement would enable members to see data of commission vessels in their eez there would be costs associated with data access only if a member requested an increase in the polling rate for vessels he noted that of the approximately 1 500 vessels registered exclusively on the commission vms only 20 30 are on high seas about 70 are in member eezs but that data is not visible despite being paid for by the commission","WCPFC7","transparency"
"text5800","WCPFC7",334,"china noted that for some coastal states maritime boundaries have not been finalized and suggested a conflict could occur if several commission members asked that their eezs be included and those did not agree on the boundaries the chair noted that language could be added to the effect that exercise of the commission vms would neither determine disputed boundaries nor prejudice the establishment of maritime boundaries of states","WCPFC7","equity"
"text5801","WCPFC7",335,"wcpfc7 adopted wcpfc7 2010 dp 27 rev 1 attachment x while noting that the inclusion of waters under the national jurisdiction of a member of the commission within the area covered by the commission vms will not determine any disputed boundary and will be without prejudice to the final determination of such boundaries cmm 2009 06 transshipment","WCPFC7","transparency"
"text5802","WCPFC7",336,"discussed under agenda item 7 1 and item 9 1 3 9 2 report by pna members on implementation of the vessel day scheme","WCPFC7","session"
"text5803","WCPFC7",337,"marshall islands presented wcpfc7 2010 dp 23 rev 1 on implementation of the vessel day scheme 49","WCPFC7","session"
"text5804","WCPFC7",338,"in response to a query marshall islands indicated that 8 pna members had amalgamated their zones to the vds implementation and monitoring is undertaken in conjunction with the ffa using the vms to monitor all fleets in pna waters all bilateral agreements are taken into account in the vds in the future tighter control will be exercised with fewer vessel days the vds includes domestic vessels under the fsm arrangement","WCPFC7","bycatch"
"text5805","WCPFC7",339,"new zealand commended the pna for its report for the forecast operational improvements implementation of fixed limits and restrictions on the transfer of days between management years","WCPFC7","bycatch"
"text5806","WCPFC7",340,"the eu suggested that future reports could address the effectiveness of vms implementation on conservation of tropical tuna stocks","WCPFC7","strategy"
"text5807","WCPFC7",341,"the marshall island noted this could be addressed by spc and that future limits would remove some effort or 15 20 of vessels","WCPFC7","bycatch"
"text5808","WCPFC7",342,"png stressed that the pna had additional measures under its third implementing arrangements and was the first to achieve 100 observer and vms coverage it noted that in 2011 png was spending $1 million per year on its observer programme and building a web based vms","WCPFC7","other"
"text5809","WCPFC7",343,"wcpfc7 noted the report by pna members on implementation of the vessel day scheme 9 3 consideration of new measures and other conservation requirements 9 3 1 north pacific striped marlin","WCPFC7","session"
"text5810","WCPFC7",344,"png in its capacity as chair of the ffc and on behalf of ffa members introduced wcpfc7 2010 dp 07 which proposes a cmm calling for a phased reduction by all ccms in their longline catch of north pacific striped marlin such that their annual catches starting from 1 january 2013 are 80 of their highest annual catches between 2000 2003","WCPFC7","bycatch"
"text5811","WCPFC7",345,"japan speaking on behalf of the northern asian countries supported the proposal","WCPFC7","equity"
"text5812","WCPFC7",346,"the usa noted its concern that members would take as their allowable catch 80 of the highest level in the reference period which could increase the average catch overall relative to the reference period meaning the measure would have little if any conservation benefit it asked for confirmation on this from spc it noted declines in striped marlin catch and the expected availability in 2011 of a stock assessment for striped marlin the usa expressed its support for a measure for 1 year with consideration of a revised cmm when the stock assessment results are available","WCPFC7","strategy"
"text5813","WCPFC7",348,"a ccm voiced support for passage of the measure noting that not all ccms were likely to catch their full allocation it indicated the measure was designed around percentage reductions and could be easily revised on the basis of a stock assessment","WCPFC7","equity"
"text5814","WCPFC7",349,"dr john hampton spc noted total catch had declined quite rapidly since the early 2000s the allocations to members under the measure would allow a total catch of some 2 400 mt somewhat higher than the current level reducing the catch relative to recent yearswould necessitate using a more recent base year or increasing the percentage reduction","WCPFC7","bycatch"
"text5815","WCPFC7",350,"following further discussion ccms agreed to a measure for north pacific striped marlin subject to the text including consideration of the following proposed amendments i the measure will be amended in 2011 on the basis of the 2011 stock assessment results 50 ii the measure will eliminate references to fishing using longline gear and apply to all gear types iii the measure will call for a 10 reduction in 2011 15 in 2012 20 in 2013 and beyond subject to amendment in 2011 iv members will be encouraged to implement and test gear modifications that may assist with reduction of north pacific striped marlin catch and inform amendment of the measure in 2011","WCPFC7","bycatch"
"text5816","WCPFC7",351,"wcpfc7 adopted wcpfc7 2010 dp 07 rev 2 as amended as a cmm cmm 2010 01 attachment y 9 3 2 port state measures","WCPFC7","session"
"text5817","WCPFC7",352,"the eu introduced wcpfc7 2010 dp 13 proposing a new cmm intended to prevent deter and eliminate iuu fishing through the implementation of effective port state measures psm to control the harvest of fish caught in the wcpf convention area the eu noted it had received various comments from members on an earlier draft presented to tcc6 and intersessionally","WCPFC7","equity"
"text5818","WCPFC7",353,"fiji and niue on behalf of ffa members thanked the eu and indicated the revised cmm took into account the concerns raised regarding the protection of the sovereignty of the port state and the exercise of sovereign rights over eezs they noted the significant implications for national institutions and resources and the effects that capacity and resource constraints can have on implementation of port state measures and sought clarity regarding the provision of financial and other assistance they noted their view that a psm should not apply to i foreign fishing vessels already licensed by the relevant port state ccm and ii vessels fishing solely in waters under the sovereignty of the relevant port state ccm","WCPFC7","equity"
"text5819","WCPFC7",354,"france strongly supported the psm as a tool to combat iuu fishing stating that most notifications come from inspections in the ports in their territories another cmm also commented on the effectiveness of psms in combating and eliminating iuu fishing","WCPFC7","equity"
"text5820","WCPFC7",355,"the chair stated that there are a number of cmms that had been adopted that refer to port state responsibilities which must all be reconciled he observed that the eu proposal incorporated the essence of the fao port state agreement which had been agreed to by the broader international community into a wcpfc cmm and noted the need to address i possible discordance between the proposal and existing wcpfc cmms ii exemptions for certain kinds of vessels iii costs borne by ccms iv differences in definitions e g what constitutes fishing and fishing related activities","WCPFC7","equity"
"text5821","WCPFC7",356,"the eu noted that the psm proposal contains specific references to funding to support implementation capacities of sids some flexibility would be possible to adjust the proposal to the specific regional context but there are some fundamental basic principles that stem from the psm agreement adopted by consensus at fao and those cannot be modified the eu agreed to progress the work intersessionally while being faithful to what was achieved through the fao process","WCPFC7","equity"
"text5822","WCPFC7",357,"wcpfc7 directed tcc7 to consider the issue of port state measures and any progress made intersessionally by the eu and other ccms on the issue 9 3 3 eastern high seas pocket special management area","WCPFC7","equity"
"text5823","WCPFC7",358,"cook islands introduced i wcpfc7 2010 dp 04 proposing a new cmm intended to reduce iuu fishing in the eastern high seas pocket of the convention area including through specific vessel reporting requirements and provision of near real time vms information related to 51 the eastern high seas pocket to adjacent coastal states territories for monitoring purposes and ii wcpfc7 2010 ip 07 supporting the proposal in dp 04","WCPFC7","transparency"
"text5824","WCPFC7",359,"several ccms strongly supported the proposal by cook islands noting their concern with what is happening in this area where there is significant fishing effort they noted fleets must transit through coastal state waters leaving those waters vulnerable to iuu fishing activities and that it was essential to develop additional mcs tools such as that proposed by the cook islands one ccm further noted that poaching was occurring in many other areas as well including targeting of sharks by small longline vessels and proposed application of the measure to high seas areas adjacent to eez areas","WCPFC7","bycatch"
"text5825","WCPFC7",360,"ffa members supported the proposal noting that the role of high seas pockets as a haven for iuu fishing and as a base for incursions into eezs had been discussed repeatedly and that the measure addressed the specific objective of enhancing mcs opportunities without overly impacting upon vessels legitimately fishing in the eastern high seas pocket they indicated that the additional requirements were not onerous and represent a practical solution to an issue that has resulted in significant losses to the neighboring coastal states which include two sids and one territory","WCPFC7","equity"
"text5826","WCPFC7",361,"one ccm supported the proposal in principle but called for further consideration of a ban on transshipment in the area and indicated they would need precise coordinates for the area attached to the cmm if adopted another ccm did not support the proposal indicating concern that the request would interfere with freedom of navigation and the high seas as enjoyed by all members and noted there was no justification to require notification by all fishing vessels prior to entry it expressed concern that enforcement of such a measure would require significant human resources on the part of the commission and flag ccms","WCPFC7","equity"
"text5827","WCPFC7",362,"several ccms suggested the proposal by cook islands be put in place and monitored for effectiveness prior to extension to other areas it was noted that the vms programme could be used more widely by members in this regard and that a provision allowed vms data to be made available within 100 miles outside the eez of a coastal state on request to the secretariat","WCPFC7","transparency"
"text5828","WCPFC7",363,"new zealand supported the proposal as a very effective mechanism for combating iuu fishing while still allowing legitimate fishing to occur new zealand stated it spends considerable funds in air surveillance including in this area and conducts patrol activities and that activities in the eastern high seas pocket place a burden on members seeking to manage the area effectively it suggested examining the expansion proposal at tcc7","WCPFC7","transparency"
"text5829","WCPFC7",364,"a ccm voiced the concern that that it was difficult for vessels to report operational plans 12 and 6 hours before arrival and departure and proposed modifying the reporting time frame it also suggested that cmm 2009 06 effectively addresses transshipment","WCPFC7","bycatch"
"text5830","WCPFC7",365,"japan noted that at present without flag state permission coastal states could not use vms data in the buffer zone a 100 nautical mile area extending from the outer limit of the eez up to 100 nautical miles into the high seas it indicated it had significant difficulties with poaching particularly by small longline vessels targeting sharks and other species japan supported a strong measure to monitor activities in the buffer zone","WCPFC7","bycatch"
"text5831","WCPFC7",366,"marshall islands supported the proposed measure and noted that the area is closed to purse seine activities as a condition of access to vessels licensed to fish in pna waters","WCPFC7","bycatch"
"text5832","WCPFC7",367,"chinese taipei stated that the commission vms provided near real time data for vessels entering and leaving eezs and that use of the vms data would provide the needed information without the proposed additional reporting which would be a burden on fishing vessels 52","WCPFC7","transparency"
"text5833","WCPFC7",368,"the philippines noted the similarity between the proposals by cook islands and that made by the philippines and asked for support for its proposal for a special management area in the western closed high seas pocket no 1","WCPFC7","other"
"text5834","WCPFC7",369,"following further discussion and amendment the commission adopted the measure noting that the extension of the special management area to buffer zones would be revisited by tcc7","WCPFC7","equity"
"text5835","WCPFC7",370,"wcpfc7 adopted wcpfc7 2010 dp 04 rev 1 as a cmm cmm 2010 02 attachment z and directed tcc7 to consider extension of the special management area to buffer zones 9 3 4 committee on compliance with conservation measures","WCPFC7","session"
"text5836","WCPFC7",371,"australia introduced wcpfc7 2010 dp 12 proposing a new cmm to implement a compliance monitoring scheme cms at wcpfc6 the commission approved australia s proposal to convene intersessional discussions on a cms through the compliance with conservation and management measures ccmm working group in accordance with tors in wcpfc6 2009 dp 17 in 2010 australia developed a working paper outlining options for a structure and process for the compliance monitoring scheme wcpfc tcc6 2010 21 which was circulated to the ccmm working group and discussed at tcc6 the latter recommended that the commission continue to progress work on the cms through the ccmm working group with australia to lead the process and develop a draft cmm for wcpfc7 consideration australia noted that the structure and process of the cms in the draft cmm is based on the principles and graduated approach described in wcpfc tcc6 2010 21 and discussed at tcc6 and based on the framework adopted by the commission in 2006 and that the proposed cms builds on existing structures and processes in place in the commission","WCPFC7","session"
"text5837","WCPFC7",372,"following initial discussion at wcpfc7 australia presented a revised version as wcpfc7 2010 dp 28 rev 2","WCPFC7","session"
"text5838","WCPFC7",373,"fiji on behalf of the ffa members noted their full support for the australian proposal","WCPFC7","equity"
"text5839","WCPFC7",374,"most ccms voiced support for the proposal with some concern expressed over i increased workload on the secretariat which could be addressed through an ims or similar means and ii the reliability of information from ngos and problems that could arise from allowing ngo participation as proposed in the ccmm cmm one ccm suggested adopting a phased approach to implementation","WCPFC7","equity"
"text5840","WCPFC7",375,"the chair summarized the discussion and acknowledged that involvement by ngos was a delicate issue he reflected on his past experience in various committees and governance bodies and suggested that the benefits of allowing interested parties to make information available outweighed the drawbacks he noted that ngos ultimately did not make decisions in bodies such as the commission but that they could submit very constructive suggestions and allowing ngos to make contributions could diffuse many problems he cited the effectiveness of this approach in development of the un fish stocks agreement","WCPFC7","equity"
"text5841","WCPFC7",376,"the commission requested australia to continue to work intersessionally through the compliance with conservation and management measures working group to develop a process that will identify a range of possible responses to non compliance as provided in paragraph 23 of cmm 2010 03 and report to tcc7","WCPFC7","session"
"text5842","WCPFC7",377,"wcpfc7 adopted wcpfc7 2010 dp 28 rev 2 as cmm 2010 03 attachment aa 53 9 3 5 pacific bluefin tuna","WCPFC7","session"
"text5843","WCPFC7",378,"japan on behalf of the nc introduced wcpfc7 2010 35 proposing a new cmm to replace the existing one seeking to ensure that the level of pacific bluefin tuna fishing mortality does not increase above 2002 2004 levels","WCPFC7","bycatch"
"text5844","WCPFC7",379,"ccms discussed wcpfc7 2010 35 one ccm with domestic fisheries for the stock expressed difficulty to withdraw its reservation made in the nc meeting in september concern was expressed that failure to adopt a new cmm could result in cites listing of pacific bluefin as was proposed for atlantic bluefin in 2010 ffa members noted their desire to see the stock assessment of pacific bluefin reviewed in full by the sc ffa members also indicated that in the event that the proposed cmm failed to meet the objective of reducing fishing mortality to 2002 2004 levels the need for stringent alternative measures such as direct control of catches particularly of juvenile fish be noted when the measure is reviewed in 2012 northern committee meetings were held twice at the margin of the commission meeting and finally reached consensus on measures as wcpfc 2010 35 rev1","WCPFC7","strategy"
"text5845","WCPFC7",380,"wcpfc7 adopted wcpfc7 2010 35 rev 1 as a cmm cmm 2010 04 attachment bb","WCPFC7","session"
"text5846","WCPFC7",381,"japan noted that mexico was a cnm and also fishes for pacific bluefin tuna it indicated that the nc intends to establish a joint working group or hold a meeting with iattc on pacific bluefin tuna prior to nc7 to pursue development of a management measure for the eastern pacific 9 3 6 large scale purse seine fishing capacity and effort","WCPFC7","strategy"
"text5847","WCPFC7",382,"discussed under agenda item 9 1 2 ii 9 3 7 closure of additional purse seine areas","WCPFC7","bycatch"
"text5848","WCPFC7",383,"marshall islands on behalf of the pna introduced wcpfc7 2010 dp 06 proposing a new cmm that would close all high seas areas located within 10°n and 20°s latitude and 170°e and 150°w longitude including those already closed to purse seine fishing by virtue of para 22 of cmm 2008 01 to all purse seine fishing from 2011 onwards they noted concern about the transfer of effort to the east with the closure of western high seas pockets particularly if elnino conditions were experienced in the next few years which have traditionally seen a shift of effort into these areas where bigeye catch is known to be significantly higher than in western areas","WCPFC7","bycatch"
"text5849","WCPFC7",384,"a number of ccms including ffa and pna members supported the proposal as complementary to actions taken by the pna with respect to high seas closures for vessels licensed to fish in pna waters","WCPFC7","equity"
"text5850","WCPFC7",385,"several ccms opposed the measure it was noted by individual ccms that i high seas closures were not effective ii wcpfc 2010 15 rev 1 indicated that removal of exemptions and exclusions in cmm 2008 01 was the most effective means of reducing catch of juvenile bigeye and iii with implementation of cmm 2008 01 effort had shifted to eezs necessitating a reduction in capacity or effort","WCPFC7","bycatch"
"text5851","WCPFC7",386,"kiribati voiced its general support but also raised concerns regarding the proposal s economic impact noting there are 3 high seas areas between its island groups it asked that the measure s economic impacts be assessed","WCPFC7","equity"
"text5852","WCPFC7",387,"wcpfc7 noted pna members have already agreed to implement the closure of the additional high seas areas located within 10n and 20s latitude and 150w longitude to purse seiners that are licensed to fish in the waters of pna from 1 january 2011 wcpfc7 agreed 54 that the proposal in wcpfc7 2010 dp 06 be further considered through the cmm 2008 01 review process set forth under 9 1 2 ii para 308 above 9 3 8 prohibition of purse seine fishing associated with whale sharks and mitigating impact of fishing on cetaceans","WCPFC7","bycatch"
"text5853","WCPFC7",388,"australia on behalf of ffa members introduced i wcpfc7 2010 dp 09 proposing a cmm to prohibit purse seine fishing associated with whale sharks and on behalf of australia and new zealand introduced ii wcpfc7 2010 dp 17 proposing a cmm to mitigate fishing impacts on all cetaceans through a prohibition on knowingly setting purse seine nets around cetaceans whether alive or dead and requiring that specific steps be taken should a cetacean be encircled australia noted that both measures derived from observations made during periods of increased observer coverage as a result of the fad closure","WCPFC7","bycatch"
"text5854","WCPFC7",389,"japan spoke on behalf of the six asian ccms noting they could not support the prohibition on setting on whale sharks as this was an established traditional practice by their fishermen and the measure would be difficult to enforce japan stated that cetacean interactions with the japanese purse seine fleet were rare and noted the need to consider what cmms are applied by iattc in the overlap area it stated that cetaceans were a sensitive issue for the japanese government and asked to defer the discussion to wcpfc8","WCPFC7","equity"
"text5855","WCPFC7",390,"in relation to wcpfc7 2010 dp 09 japan on behalf of the 6 asian ccms indicated that they would support the proposal if paragraphs 1 4 were removed these paragraphs prohibit the setting of nets on whale sharks and if they were removed only the paragraphs referring to the steps to be taken in the event of a whale shark being inadvertently encircled would remain ffa members did not accept this change stating doing so would fundamentally alter the measure","WCPFC7","bycatch"
"text5856","WCPFC7",391,"several ccms voiced support in principle for the proposals and indicated that their laws prohibited setting on marine mammals and referring to wcpfc7 2010 ip 01 which indicates that intentional and unintentional encirclement of both cetaceans and whale sharks do occur in the fishery resulting in a degree of mortality","WCPFC7","equity"
"text5857","WCPFC7",392,"ffa members noted the vulnerability of whale sharks to fishing pressure and stated that they deserved extra protection from the commission and that the language used in the measure was consistent with provisions for release of sea turtles in cmm 2008 03","WCPFC7","bycatch"
"text5858","WCPFC7",393,"greenpeace noted its support for the proposals and indicated it would undertake market engagement work in support of the measures","WCPFC7","equity"
"text5859","WCPFC7",394,"one ccm indicated the proposal on cetaceans should be dealt with by the international whaling commission and not by the commission","WCPFC7","equity"
"text5860","WCPFC7",395,"several ccms stressed that the convention provided the commission the mandate to adopt measures mandating conservation of non target and associated species as already undertaken through measures on seabirds and turtles","WCPFC7","bycatch"
"text5861","WCPFC7",396,"australia noted that best practice guidelines for the safe handling and release of encircled animals should be considered by sc7 the usa emphasized that in developing these best practices the commission consult closely with industry","WCPFC7","equity"
